time,SimNetwork.a.parkingLot.parkingOccupancy:vector
789851.197519458336,1
790105.96840217676,2
790413.263597965711,3
790943.654512620662,4
791931.198675951774,3
791960.219953771938,4
792048.078964094059,3
792086.268646873232,2
793017.545516863138,1
793596.497593241405,2
793870.227698232277,3
793925.83911982287,2
795515.212373573559,1
795611.147983248269,0
798128.454815342672,1
800198.361461111289,0
805621.865036890322,1
806622.307195728003,2
807189.996540652023,1
808583.720667754991,0
808739.767129344557,1
809025.516173514428,2
809897.905971834551,3
810518.811669619834,2
810542.969951830802,1
811797.683486690992,0
811907.070080000273,1
812725.931176021174,2
813554.351852800048,1
814865.077459220408,0
817308.71859326135,1
818344.386655005567,2
818958.460352839932,1
820153.027006922389,0
820806.635793695944,1
821930.931982156097,2
822585.521011193013,1
823465.979488466645,0
824077.175897787403,1
824531.406580931102,2
825685.409144567592,1
825751.78701817312,2
826527.378295106248,1
827580.805358048618,0
829088.508895331177,1
829344.929246818478,2
830481.455906622711,3
830947.644428069363,2
831178.088684287448,1
832139.661030488353,0
834176.453453397199,1
836131.235979353657,0
840373.028269385549,1
840663.38106486274,2
841438.94844152608,3
842372.649351851685,2
842487.293354371556,3
842593.742263983472,2
843069.709152419623,1
843083.940109608166,2
844317.944996982127,3
844406.93323722711,2
844775.097230747007,1
845959.920549046956,0
847064.266119532839,1
848847.86455114187,0
852353.850465552117,1
853958.691877643839,0
858475.355364946975,1
858818.890177151699,2
860331.269781844786,1
860772.447237411653,0
861362.712890393231,1
863029.041428588461,0
864869.679617857957,1
866945.381482469208,0
871069.569443944454,1
871326.40727837609,2
873055.212415236294,1
873069.791336991867,0
876597.131064753722,1
878391.674930608681,0
878957.614316923975,1
880794.892159229857,0
881376.745660918418,1
883106.700932177727,0
885065.575019715035,1
887215.894820759727,0
890668.392737861573,1
892264.123648687493,0
893648.573342648792,1
893945.353606594793,2
895012.456867325909,1
895673.379347257129,0
898584.033174480094,1
899800.285540174806,2
900287.902377814013,1
901832.833526749826,0
902949.944046573514,1
904032.498600476129,2
904409.906998887639,3
904680.725599871561,4
904736.380733243766,3
905474.354359560425,2
905512.807461956433,3
905788.911155178318,4
906281.181253172491,3
906463.572363814535,2
907225.742452664426,3
907537.641723101254,2
907711.582056094276,1
908459.444953174789,2
908743.358201361356,1
910197.206433590911,0
918372.11243338631,1
920307.647264146674,0
923273.27859293992,1
924997.283214411787,0
926831.707408610027,1
928561.132398360839,0
930510.839710277051,1
931224.030743680996,2
932501.679856066066,1
933050.489520612893,0
935715.647584080762,1
937317.041289792976,0
939596.55088884379,1
941430.205542572762,0
943924.244561859942,1
945832.093436704706,0
953390.276764411049,1
954943.963945237289,0
956146.603649640551,1
956723.905337676918,2
957376.213676833508,3
957751.789549997135,2
958497.167472333959,1
959021.870012648421,0
963416.130971533197,1
965318.62884313029,0
966715.388220081386,1
968362.127532590288,0
974541.347294016574,1
976210.264763789078,0
981740.080580524712,1
983753.04261657585,0
986893.041465094974,1
988641.005054408104,0
992628.069056763738,1
992888.356772374364,2
994453.97390159084,1
994853.908979052499,0
998508.979503840281,1
1000411.972249365358,0
1004876.302892083883,1
1006284.350053021692,2
1006330.006768730445,1
1008024.258214164732,0
1011226.239136270857,1
1013168.163016636358,0
1014281.063442199914,1
1016223.491327416079,0
1023126.024264552922,1
1024839.423082342954,0
1025607.903513164941,1
1026790.029496645563,2
1027134.714439831203,3
1027149.331359426794,2
1028494.636251950767,1
1028985.376530406318,0
1029575.103504661407,1
1031354.663220526267,0
1036108.495818101015,1
1036445.788737574242,2
time,SimNetwork.a.parkingLot.parkingOccupancy:vector
101605.895702272676,0
103906.748194054381,1
104498.7507583349,2
